Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
Chetana Education,88,-3.03%,90.05,"12,800",179.52,13.67,33.18,129,75.4,-16.98%,1.03%,-15.22%,-15.22%,-15.22%,2.34,-,47.67%,59.92%,23.6,99.8,92.66,38.76,,,,,,,,,,,,,,,,,,,,
Cheviot,"1,118.90",-0.25%,"1,122.60","2,007",653.65,11.63,3.96,"1,653.40",974.75,5.85%,8.15%,-26.31%,-2.92%,-2.92%,1.03,0.43%,11.09%,13.33%,131.37,"1,063.67","1,217.15",62.67,,,,,,,,,,,,,,,,,,,,
Choice International,696.6,-0.55%,701.3,"3,33,160","13,908.00",89.32,32.57,723,358.1,6.85%,44.43%,90.67%,715.69%,824.98%,14.18,-,12.46%,24.57%,6.86,624.63,531.51,73.04,,,,,,,,,,,,,,,,,,,,
Cholamandalam Financial Holdings,"1,963.20",-0.72%,"1,969.00","1,72,004","36,864.47",17.07,32.57,"2,154.95","1,196.10",9.00%,23.02%,57.83%,218.73%,591.75%,2.96,0.07%,17.35%,9.69%,103.82,"1,846.66","1,699.34",60.52,,,,,,,,,,,,,,,,,,,,
Cholamandalam Investment,"1,583.40",-1.54%,"1,608.30","12,56,998","1,33,150.76",31.73,32.57,"1,684.40","1,168.00",0.27%,9.09%,16.51%,160.00%,889.32%,5.71,0.12%,17.41%,11.23%,43.53,"1,559.18","1,419.81",57.07,,,,,,,,,,,,,,,,,,,,
CIE Automotive,462.45,-3.30%,480.25,"3,68,287","17,543.61",22.67,36.94,622.4,356.75,9.95%,21.01%,-20.40%,-7.21%,-7.21%,2.74,1.47%,13.32%,15.32%,21.36,423.83,470.51,64.02,,,,,,,,,,,,,,,,,,,,
Cigniti Technologies,"1,658.90",-1.50%,"1,696.90","89,807","4,544.88",20.85,41.34,"1,970.00","1,033.25",7.80%,22.69%,24.11%,264.63%,466.18%,4.79,-,28.56%,29.13%,53.61,"1,440.42","1,486.25",76.89,,,,,,,,,,,,,,,,,,,,
Cineline,90.5,-1.41%,92,"4,108",310.11,36.75,22.16,150.79,73.64,0.93%,6.92%,-29.25%,-36.47%,281.05%,2.19,-,-,7.54%,-,91.64,104.43,51.01,,,,,,,,,,,,,,,,,,,,
Cinevista,19.28,-9.74%,21.4,"4,01,723",110.74,-,22.16,23.8,13.21,27.43%,39.11%,4.90%,51.81%,206.03%,-2.84,-,-,-3.35%,-,15.22,17.5,71.19,,,,,,,,,,,,,,,,,,,,
Cipla,"1,501.80",-1.31%,"1,527.00","9,38,841","1,21,287.61",23.31,43.06,"1,702.05","1,335.00",-0.65%,3.27%,-2.54%,57.30%,133.34%,3.94,1.05%,15.50%,21.08%,55.04,"1,489.96","1,512.85",56.93,,,,,,,,,,,,,,,,,,,,
City Union Bank,196.19,-1.88%,200.88,"9,03,201","14,537.40",13.19,19.69,208.4,142.91,6.68%,32.03%,31.45%,46.85%,45.76%,1.57,1.00%,12.09%,6.18%,14.22,183.07,171.65,70.07,,,,,,,,,,,,,,,,,,,,
CL Educate,94.01,-2.21%,96.88,"71,758",508.58,74.97,35.52,136.98,67.5,9.02%,31.17%,6.31%,56.74%,738.63%,1.92,-,-,8.22%,-,87.57,101.9,68.65,,,,,,,,,,,,,,,,,,,,
Clean Science & Technology,"1,472.30",-2.28%,"1,510.00","52,222","15,645.73",60.58,36.4,"1,690.00","1,106.45",19.01%,23.50%,6.99%,-12.16%,-7.13%,11.31,0.40%,20.28%,26.48%,23.62,"1,284.71","1,384.95",62.84,,,,,,,,,,,,,,,,,,,,
CMS Info Systems,495.05,-0.42%,501,"2,97,610","8,136.89",21.77,35.52,616.5,410.55,11.06%,10.42%,0.87%,119.39%,107.83%,3.58,1.93%,17.83%,22.94%,21.73,470.36,495.57,58.78,,,,,,,,,,,,,,,,,,,,
Coastal Corporation,40.72,-4.28%,43.4,"63,456",272.73,63.4,54.04,64.84,32.7,1.98%,1.80%,-12.94%,-18.33%,-27.51%,1.08,-,2.74%,6.03%,3.38,38.26,46.18,55.09,,,,,,,,,,,,,,,,,,,,
Cochin Shipyard,"2,142.20",-2.40%,"2,200.00","49,96,719","56,357.16",69.76,35.52,"2,979.45","1,180.20",40.86%,67.07%,12.58%,1293.94%,1481.78%,10.35,0.44%,-,19.98%,-,"1,694.97","1,574.78",68.49,,,,,,,,,,,,,,,,,,,,
Coffee Day Enterprises,35.97,-3.64%,36.99,"7,48,215",759.87,31.18,43.96,59.7,21.28,19.50%,39.15%,-37.48%,-23.22%,119.33%,0.31,-,-,-9.95%,-,30.51,37.63,66.41,,,,,,,,,,,,,,,,,,,,
Coforge,"1,792.00",-1.35%,"1,821.50","13,40,194","59,923.45",72.4,41.34,"2,005.36","1,032.40",7.80%,21.08%,73.00%,170.57%,567.09%,9.53,0.84%,22.42%,25.58%,114.98,"1,561.59","1,580.52",76.89,,,,,,,,,,,,,,,,,,,,
Cohance Lifesciences,"1,004.10",0.18%,"1,015.00","2,56,888","38,413.57",143.29,43.06,"1,119.00",990,-5.57%,-6.84%,-6.84%,-6.84%,-6.84%,22.45,-,14.64%,19.24%,9.45,"1,094.69","1,157.74",38.21,,,,,,,,,,,,,,,,,,,,
Colgate Palmolive,"2,412.00",-0.83%,"2,443.70","4,60,845","65,602.93",46.02,55.7,"3,890.00","2,311.50",-7.64%,-0.84%,-18.39%,58.99%,78.08%,39.73,2.10%,70.62%,91.27%,51.99,"2,536.20","2,869.57",40.59,,,,,,,,,,,,,,,,,,,,
Commercial Syn Bags,128.26,-3.14%,133.75,"1,61,484",512.43,31.14,24.63,134,52.98,23.03%,54.40%,88.73%,51.43%,51.43%,3.56,-,-,11.04%,-,98.12,78.44,77.47,,,,,,,,,,,,,,,,,,,,
Committed Cargo Care,255,-,-,-,275.64,35.32,35.52,261,48.5,5.72%,32.81%,359.46%,196.17%,196.17%,3.61,0.20%,-,9.68%,-,230.27,123.97,57.27,,,,,,,,,,,,,,,,,,,,
Compuage Infocom,2.01,1.01%,2.03,"71,112",17.24,-,35.81,4.06,1.26,11.67%,1.52%,-40.18%,-91.62%,-83.31%,-0.06,-,-,113.07%,-,1.77,4.31,57.88,,,,,,,,,,,,,,,,,,,,
Compucom Software,22.2,-3.44%,22.92,"73,886",175.66,121.53,26.35,41.5,15.94,15.03%,19.23%,-26.66%,-2.84%,111.43%,1.3,0.87%,3.93%,6.34%,0.49,20.16,25.52,63.22,,,,,,,,,,,,,,,,,,,,
Computer Age Management Services,"4,093.60",-3.20%,"4,237.00","4,44,256","20,234.60",44.46,35.52,"5,367.50","3,031.05",11.49%,23.16%,12.88%,65.68%,192.11%,18.69,1.71%,38.33%,42.86%,78.32,"3,879.51","4,200.67",69.96,,,,,,,,,,,,,,,,,,,,
Concord Biotech,"2,060.80",-3.27%,"2,130.40","1,61,696","21,559.31",60.06,43.06,"2,664.00","1,345.00",36.38%,27.06%,43.96%,118.58%,118.58%,12.31,0.50%,20.18%,26.63%,29.94,"1,645.28","1,884.76",83.53,,,,,,,,,,,,,,,,,,,,
Concord Enviro Systems,582.7,-1.68%,598.6,"27,970","1,205.97",21.03,39.32,860,415,13.81%,9.26%,-29.55%,-29.55%,-29.55%,2.29,-,-,17.22%,-,547.54,-,56.3,,,,,,,,,,,,,,,,,,,,
Confidence Petroleum,59.99,-2.07%,61.3,"6,35,303","1,993.11",23.59,35.52,98.54,46.05,12.55%,21.41%,-27.48%,15.48%,209.23%,1.55,-,9.87%,12.88%,2.66,55.24,68.74,58.38,,,,,,,,,,,,,,,,,,,,
Consolidated Construction,18.57,-1.28%,19.2,"2,00,734",829.63,-,27.46,28.68,10.84,29.77%,33.98%,62.33%,763.72%,7328.00%,4.18,-,-,740.63%,-,16.65,16.57,52.82,,,,,,,,,,,,,,,,,,,,
Consolidated Finvest & Holdings,208.15,-1.98%,212,"18,750",672.87,1.58,32.57,249,160,15.01%,17.61%,4.21%,60.18%,647.40%,0.44,-,29.77%,30.30%,132.99,190.13,201.29,68.12,,,,,,,,,,,,,,,,,,,,
Container Corporation of India,774.9,-1.84%,790.95,"12,36,125","47,214.22",36.62,35.52,"1,153.40",601.25,12.59%,19.85%,-32.11%,20.99%,96.40%,3.89,0.25%,10.36%,13.60%,20.9,719.62,783.16,67.07,,,,,,,,,,,,,,,,,,,,
Continental Seeds Chemicals,24.15,4.09%,24.15,"3,333",30.68,43.77,35.81,70.15,22.1,2.99%,-27.37%,-8.17%,245.00%,128.91%,0.96,-,-,7.61%,-,27.96,38.8,37.72,,,,,,,,,,,,,,,,,,,,
Control Print,739.85,-1.45%,749.05,"25,079","1,183.33",11.97,16.54,887.65,547,19.56%,23.16%,-11.94%,69.92%,285.94%,2.99,1.33%,16.29%,21.27%,32.65,660.13,708.07,66.61,,,,,,,,,,,,,,,,,,,,
Cool Caps Industries,818,1.93%,803,"6,500",945.61,77.47,30.71,931,316,1.56%,2.38%,138.24%,691.10%,2072.64%,16.92,-,-,9.98%,-,787.27,742.19,59.3,,,,,,,,,,,,,,,,,,,,
Coral India Finance,46.49,-1.59%,47.1,"24,545",187.37,10.89,28.13,77.85,33.7,17.46%,27.83%,-2.50%,30.41%,205.86%,0.86,0.85%,-,12.42%,-,42.31,48.13,60.27,,,,,,,,,,,,,,,,,,,,
Cords Cable Industries,201.69,-0.64%,203.79,"47,396",260.74,17.85,32.54,278,146.65,16.03%,20.36%,-19.20%,294.31%,503.86%,1.44,-,-,19.95%,-,181.79,192.12,56.27,,,,,,,,,,,,,,,,,,,,
Coromandel International,"2,304.00",-3.24%,"2,381.20","3,32,144","67,880.91",38.9,19.56,"2,514.00","1,450.05",-4.97%,30.78%,56.21%,150.71%,242.25%,6.33,0.63%,17.37%,23.78%,49.55,"2,256.12","1,884.12",50.8,,,,,,,,,,,,,,,,,,,,
Cosmo First,"1,223.90",-2.07%,"1,265.00","1,16,096","3,212.70",24.59,24.63,"1,263.70",525.7,99.77%,98.93%,85.24%,13.19%,531.76%,2.24,0.32%,4.62%,6.84%,30.19,755.71,770.36,74.86,,,,,,,,,,,,,,,,,,,,
Country Club Hospitality,17.45,-3.70%,18.14,"95,431",285.25,67.15,43.96,30.65,13,12.65%,9.13%,-3.54%,156.62%,359.21%,0.95,-,-,-,-,16.5,18.74,62.7,,,,,,,,,,,,,,,,,,,,
Country Condos,7.05,1.00%,7.15,"90,995",54.71,87.38,27.46,11.92,5.31,-14.75%,20.72%,18.29%,65.88%,403.57%,2.16,-,-,9.38%,-,7.82,6.94,38.78,,,,,,,,,,,,,,,,,,,,
CP Capital,170.61,-2.65%,176.13,"10,355",310.39,8.35,35.52,438,158.5,-27.01%,-25.48%,-28.37%,133.55%,73.31%,0.58,1.72%,-,12.68%,-,230.87,284.31,36.17,,,,,,,,,,,,,,,,,,,,
CPS Shapers,846.9,-,-,-,187.26,"1,114.34",35.08,846.9,246.05,16.93%,76.44%,235.14%,79.24%,79.24%,11.06,-,-,18.09%,-,657.11,495.64,66.4,,,,,,,,,,,,,,,,,,,,
Craftsman Automation,"5,288.50",-1.96%,"5,398.00","18,316","12,616.03",60.37,46.65,"7,121.25","3,700.00",5.11%,8.26%,20.36%,130.95%,268.38%,4.5,0.09%,19.26%,19.50%,118.71,"5,037.81","5,163.90",56.5,,,,,,,,,,,,,,,,,,,,
Crayons Advertising,51.1,-2.01%,51.1,"1,000",124.84,11.64,35.52,147.8,42.15,5.58%,-7.43%,-62.08%,-62.13%,-62.13%,1.09,-,-,21.51%,-,53.01,88.48,40.94,,,,,,,,,,,,,,,,,,,,
Creative Eye,11.32,3.76%,11.45,"1,04,381",22.71,-,22.16,12.19,5.27,77.71%,86.80%,55.92%,183.00%,654.67%,1.09,-,-,-8.23%,-,-,-,-,,,,,,,,,,,,,,,,,,,,
Creative Graphics Solutions,198.5,-2.70%,203.2,"52,000",482.08,23.86,39.32,229.95,134.4,32.82%,25.24%,9.25%,12.62%,12.62%,4.64,-,46.14%,34.68%,4.45,158.52,173.78,76.53,,,,,,,,,,,,,,,,,,,,
Creative Newtech,701.3,1.37%,698.95,"15,841",998.77,18.55,35.81,"1,075.00",647.85,-2.62%,0.62%,-2.78%,39.26%,719.75%,3.36,0.08%,21.60%,29.21%,36.46,725.36,826.12,42.07,,,,,,,,,,,,,,,,,,,,
Credit Access Grameen,"1,195.40",-2.16%,"1,219.90","1,80,698","19,079.49",36.69,32.57,"1,501.95",750.2,2.83%,29.18%,-19.09%,16.47%,129.36%,2.8,0.82%,22.01%,12.92%,93.77,"1,116.42","1,034.96",59.45,,,,,,,,,,,,,,,,,,,,
Credo Brands Marketing (Mufti),171.2,-2.57%,174.33,"1,10,327","1,118.12",16.78,35.81,228,117,30.45%,29.26%,5.08%,-45.16%,-45.16%,2.8,1.71%,17.33%,18.00%,9.36,143.59,164.88,69.38,,,,,,,,,,,,,,,,,,,,
Crest Ventures,404.25,-0.87%,408,"8,722","1,150.09",12.87,32.57,621.65,319.1,4.36%,15.37%,-8.55%,136.61%,526.26%,0.97,0.24%,5.47%,8.12%,21.2,391.23,434.73,61.23,,,,,,,,,,,,,,,,,,,,
CRISIL,"5,550.50",-4.93%,"5,804.50","1,04,560","40,590.82",60.53,35.52,"6,950.00","3,973.60",10.92%,26.52%,34.47%,60.47%,281.87%,16.67,0.96%,30.08%,32.65%,88.88,"4,808.90","4,995.83",72.84,,,,,,,,,,,,,,,,,,,,
Crompton Greaves,344.6,-2.25%,351.8,"27,75,115","22,184.99",40.84,44.35,484,301,2.71%,-3.65%,-18.38%,5.22%,53.12%,6.69,0.85%,12.81%,16.23%,7.36,341.85,379.48,56.73,,,,,,,,,,,,,,,,,,,,
Crop Life Science,50.95,2.62%,49.65,"14,000",87.33,14.43,40.46,69.2,39.35,5.60%,1.90%,25.49%,-4.14%,-4.14%,1.1,-,10.04%,13.22%,3.53,49.29,50.17,51.6,,,,,,,,,,,,,,,,,,,,
Crown Lifters,192.65,-2.81%,202.99,"16,571",216.22,22.79,35.52,325.05,135.34,21.29%,22.13%,-19.83%,555.27%,2308.13%,3.6,0.20%,-,9.11%,-,170.14,207.2,64.76,,,,,,,,,,,,,,,,,,,,
CSB Bank,389.8,0.26%,388,"2,70,185","6,762.48",11.34,19.69,403.2,272.75,9.10%,39.84%,10.94%,111.73%,188.95%,1.56,-,14.90%,6.14%,31.58,351.21,318.75,70.89,,,,,,,,,,,,,,,,,,,,
CSL Finance,346.55,-0.91%,349.75,"10,703",789.53,11.04,32.57,533,227.45,15.29%,35.32%,-24.83%,51.07%,51.07%,1.47,0.85%,12.59%,13.31%,30.11,306.05,327.84,70.1,,,,,,,,,,,,,,,,,,,,
Cubex Tubings,111.49,-3.27%,116,"59,661",159.64,24.85,17.48,143.25,67.11,47.86%,24.32%,11.48%,338.07%,904.41%,2.18,-,-,9.85%,-,86.7,96.35,84.33,,,,,,,,,,,,,,,,,,,,
Cummins,"3,331.40",-1.24%,"3,386.00","3,15,762","92,346.41",46.74,47.21,"4,171.90","2,580.00",16.36%,18.19%,-9.35%,232.04%,750.17%,12.36,1.53%,26.02%,32.28%,66.04,"2,993.95","3,239.41",73.85,,,,,,,,,,,,,,,,,,,,
Cupid,96.27,-1.36%,97.4,"19,94,918","2,583.45",64.18,56.24,113.5,55.75,11.13%,51.06%,1.00%,791.39%,998.97%,7.65,-,-,17.96%,-,84.94,79.23,56.46,,,,,,,,,,,,,,,,,,,,
Cura Technologies,121.76,-,-,-,4.14,-,41.34,121.76,24.43,48.47%,394.76%,394.76%,394.76%,394.76%,15.97,-,-,-121.60%,-,73.25,-,100,,,,,,,,,,,,,,,,,,,,
Cyber Media,15.03,-0.92%,15.56,"15,936",23.55,-,22.16,34.69,11.66,7.51%,-2.02%,-37.69%,-6.06%,553.48%,-1.48,-,-,44.67%,-,14.44,22.03,58.2,,,,,,,,,,,,,,,,,,,,
Cyber Media Research & Services,89.05,-,-,-,26.07,11.33,41.34,205,64,8.73%,27.21%,-42.86%,-70.12%,-70.12%,1.51,2.25%,23.10%,25.69%,14.21,80.21,103.31,56.57,,,,,,,,,,,,,,,,,,,,
Cybertech Systems & Software,172.68,-2.00%,172.68,"1,968",537.56,15.72,41.34,293,125.12,15.88%,13.13%,10.98%,26.27%,282.88%,2.22,2.27%,-,14.37%,-,153.68,194.62,71.92,,,,,,,,,,,,,,,,,,,,
Cyient,"1,321.70",-1.62%,"1,349.90","3,83,747","14,676.01",24.23,41.34,"2,157.45","1,084.05",5.03%,9.07%,-29.86%,67.95%,518.34%,2.81,1.93%,15.42%,19.35%,63.07,"1,253.33","1,619.00",61.16,,,,,,,,,,,,,,,,,,,,
Cyient DLM,470.2,-2.88%,485,"1,81,819","3,728.97",56.43,67.22,870,378.6,4.28%,15.09%,-30.53%,11.79%,11.79%,4.04,-,6.73%,10.95%,8.38,462.72,567.57,48.02,,,,,,,,,,,,,,,,,,,,
D P Abhushan,"1,465.10",-0.81%,"1,494.90","3,387","3,312.73",31.21,39.14,"1,927.00","1,189.25",1.95%,7.39%,17.20%,273.46%,2772.75%,23.87,0.18%,29.36%,39.81%,18.21,"1,469.22","1,548.77",52.62,,,,,,,,,,,,,,,,,,,,
Dabur,473.2,-2.73%,487.1,"31,55,051","83,866.10",48.89,56.24,672,433.3,-0.39%,-5.35%,-23.62%,-4.94%,3.85%,8,1.64%,17.58%,22.18%,10.6,480.35,530.36,55.9,,,,,,,,,,,,,,,,,,,,
Dalmia Bharat,"2,107.20",-1.68%,"2,149.90","1,10,149","39,523.73",57.26,30.72,"2,176.00","1,601.00",6.38%,28.40%,10.90%,67.11%,273.39%,2.31,0.43%,5.17%,4.86%,49.19,"1,974.39","1,854.05",67.18,,,,,,,,,,,,,,,,,,,,
Dalmia Bharat Sugar & Industries,430.05,-1.59%,439.8,"96,685","3,480.79",13.01,20.08,585,291,6.94%,33.74%,6.30%,21.69%,320.38%,1.16,1.14%,9.29%,11.61%,32.84,407.76,412.24,61.36,,,,,,,,,,,,,,,,,,,,
DAM Capital Advisors,272,-4.88%,287,"7,27,799","1,922.66",19.46,32.57,456.9,195.55,24.08%,30.84%,-34.47%,-34.47%,-34.47%,7.66,0.35%,-,52.07%,-,236.5,-,66.97,,,,,,,,,,,,,,,,,,,,
Damodar Industries,37.83,-0.58%,38.2,"2,957",88.14,16.06,21.41,55,28,10.87%,23.95%,-22.57%,-15.75%,78.44%,0.6,-,4.35%,15.97%,1.07,34.03,39.45,55.72,,,,,,,,,,,,,,,,,,,,
Dangee Dums,4.63,-0.43%,4.79,"50,786",71.29,-,39.33,9.55,4.05,10.77%,-12.97%,-42.70%,-78.95%,-9.04%,4.53,-,-,4.73%,-,4.59,6.32,51.5,,,,,,,,,,,,,,,,,,,,
Danish Power,977.4,-1.60%,993.3,"35,550","1,924.66",33.96,44.35,"1,316.00",541.5,-2.46%,30.83%,63.31%,63.31%,63.31%,6.11,-,-,60.49%,-,949.88,-,49.63,,,,,,,,,,,,,,,,,,,,
Dar Credit & Capital,58.15,-1.69%,59.8,"76,000",83.01,12,32.57,66,54.45,-9.07%,-9.07%,-9.07%,-9.07%,-9.07%,0.85,0.85%,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
Data Patterns,"2,958.00",-2.31%,"3,026.90","5,05,531","16,560.06",76.43,67.22,"3,655.00","1,351.15",23.97%,86.47%,8.55%,321.52%,291.79%,11.24,0.26%,2.20%,11.06%,33.7,"2,375.99","2,285.40",68.15,,,,,,,,,,,,,,,,,,,,
Datamatics Global Services,632.7,-0.32%,637.9,"1,21,599","3,739.66",20.93,41.34,740,515.05,-1.23%,7.58%,4.11%,115.75%,1240.47%,2.75,0.79%,16.15%,19.90%,32.04,606.11,612.48,56.45,,,,,,,,,,,,,,,,,,,,
Davangere Sugar Company,3.54,-0.84%,3.57,"88,52,905",333.06,29.92,20.08,10.37,3.48,-8.53%,-18.81%,-63.73%,-96.42%,-96.42%,1.8,-,4.24%,8.71%,0.13,3.81,5.43,43.11,,,,,,,,,,,,,,,,,,,,
DB Corp,276.75,1.30%,274.4,"3,98,867","4,931.08",13.1,22.16,403.9,189.05,23.05%,25.13%,-9.32%,256.64%,292.27%,2.18,4.40%,19.16%,23.35%,26.08,243.23,280,73.27,,,,,,,,,,,,,,,,,,,,
DB International Stock Brokers,31.17,1.83%,30.01,"19,868",109.1,18.77,32.57,59.88,26,11.48%,-6.26%,-36.56%,52.79%,275.54%,1.51,-,11.14%,20.17%,2.58,28.34,39.76,61.06,,,,,,,,,,,,,,,,,,,,
DC Infotech & Communications,283.45,-1.44%,291,"3,406",401.93,28.49,35.81,457.7,215.35,9.44%,12.48%,25.70%,604.22%,1266.02%,5.62,-,-,40.22%,-,280.16,322.75,48.57,,,,,,,,,,,,,,,,,,,,
DCB Bank,146.28,0.25%,145.92,"10,92,957","4,595.18",7.47,19.69,150.79,101.41,7.18%,39.99%,8.47%,83.77%,103.59%,0.85,0.92%,10.57%,6.59%,17.25,133.47,121.6,65.6,,,,,,,,,,,,,,,,,,,,
DCG Cables & Wires,67.95,-3.96%,68.45,"14,400",123.33,15.86,32.54,182.5,57.15,-3.41%,6.17%,-27.64%,-20.53%,-20.53%,1.62,-,-,50.88%,-,71.04,100.27,45.66,,,,,,,,,,,,,,,,,,,,
DCM,108.82,2.35%,107.6,"65,713",203.25,9.09,36.94,141.88,74.5,5.90%,11.78%,43.41%,51.56%,506.24%,4.64,-,-,18.82%,-,103.6,100.01,53.43,,,,,,,,,,,,,,,,,,,,
DCM Financial Services,6.84,-4.20%,7.31,"30,051",12.85,-,32.57,12.04,4.92,28.09%,19.58%,11.76%,55.45%,877.14%,-0.32,-,-,2.08%,-,6.3,7.13,49.8,,,,,,,,,,,,,,,,,,,,
DCM Nouvelle,179.77,-1.63%,180.34,"7,117",335.77,49.66,23.14,297.8,145,-2.93%,19.82%,-12.88%,9.78%,599.49%,1.05,-,-,5.30%,-,175.05,191.78,55.05,,,,,,,,,,,,,,,,,,,,
DCM Shriram Consolidated,"1,126.70",1.75%,"1,108.00","1,26,558","17,570.02",28.5,28.5,"1,371.10",902.6,9.95%,10.28%,13.65%,19.82%,287.12%,2.46,0.82%,6.86%,8.94%,31.47,"1,048.26","1,080.03",62.27,,,,,,,,,,,,,,,,,,,,
DCM Shriram Industries,173.99,-1.87%,178,"94,476","1,513.58",15.2,20.08,240.61,142.11,-4.43%,14.10%,-21.39%,115.20%,94.62%,1.72,1.13%,14.15%,20.63%,13.76,176.4,180.26,51.46,,,,,,,,,,,,,,,,,,,,
DCW,81.52,-2.71%,83.79,"12,07,795","2,406.10",81.47,25.39,113,50,8.71%,11.78%,47.33%,82.17%,82.17%,2.4,0.12%,-1.06%,1.09%,0.46,79.49,87.32,64.47,,,,,,,,,,,,,,,,,,,,
DCX Systems,292.35,-1.68%,298,"23,31,603","3,256.38",85.13,67.22,451.9,200.1,-1.48%,29.71%,-7.48%,-5.22%,-5.22%,2.41,-,-,10.83%,-,287.57,308.83,52.66,,,,,,,,,,,,,,,,,,,,
Ddev Plastiks Industries,288.6,-0.47%,292.85,"77,614","2,986.34",16.29,36.4,316,212.55,8.15%,26.05%,11.02%,11.02%,11.02%,3.62,-,-,39.01%,-,271.32,-,63.35,,,,,,,,,,,,,,,,,,,,
De Neers Tools,348.1,-2.63%,353.3,"19,200",299.59,19.5,35.81,369,175,16.09%,28.93%,72.67%,91.58%,91.58%,5.06,-,-,15.92%,-,303.69,274.83,68.15,,,,,,,,,,,,,,,,,,,,
De Nora,911.05,-1.65%,940.2,"8,377",483.64,290.31,39.32,"2,025.00",676,20.06%,27.81%,-43.58%,41.26%,299.85%,4.09,-,19.94%,21.07%,40.24,804.8,"1,105.47",67.14,,,,,,,,,,,,,,,,,,,,
Debock Industries,2.51,1.62%,2.5,"2,44,356",40.85,6.84,35.81,8.73,1.85,15.14%,17.84%,-67.57%,-89.31%,43.43%,0.21,-,-,5.44%,-,2.36,3.75,57.27,,,,,,,,,,,,,,,,,,,,
Deccan Cements,733.3,-0.07%,733.85,"8,805","1,027.17",135.64,30.72,930,549.8,-4.24%,-9.86%,8.29%,60.56%,217.79%,1.41,0.08%,7.17%,5.66%,28.97,765.4,686.24,40.53,,,,,,,,,,,,,,,,,,,,
Deccan Transcon Leasing,40.15,1.26%,39.75,"14,400",91.23,14.58,35.52,117.9,35.6,-17.22%,-26.93%,-63.58%,-63.58%,-63.58%,1.01,-,-,36.29%,-,46.15,-,42,,,,,,,,,,,,,,,,,,,,
DEE Development Engineers,286.15,-2.79%,296.25,"77,860","1,975.98",46.67,32.88,400,167,24.38%,23.69%,-14.66%,-14.66%,-14.66%,2.54,-,3.06%,13.14%,3.8,247.71,273.67,66.69,,,,,,,,,,,,,,,,,,,,
Deem Roll Tech,70.95,-,72,"6,000",59.15,20.39,36.94,136.45,51.25,8.24%,24.15%,-23.30%,-66.17%,-66.17%,0.69,-,15.52%,13.83%,9.37,61.79,84.25,54.68,,,,,,,,,,,,,,,,,,,,
Deep Industries,432.4,1.86%,425.5,"3,39,604","2,767.36",22.18,21.68,624.4,283.6,3.73%,-5.60%,45.56%,319.20%,2329.21%,1.49,0.72%,8.20%,9.60%,20.19,444.84,482.67,46.23,,,,,,,,,,,,,,,,,,,,
Deepak Builders & Engineers,144.83,-2.20%,149.7,"69,693",674.63,12.18,27.46,214,128.5,4.01%,3.89%,-10.57%,-10.57%,-10.57%,1.7,-,-,33.44%,-,143.44,-,52.98,,,,,,,,,,,,,,,,,,,,
Deepak Fertilisers & Petrochemicals,"1,567.30",-0.55%,"1,585.00","7,28,535","19,785.25",21.29,36.4,"1,612.00",579.3,20.38%,37.17%,160.93%,139.06%,1450.55%,3.19,0.64%,23.51%,12.26%,41.83,"1,321.47","1,189.08",68.5,,,,,,,,,,,,,,,,,,,,
Deepak Nitrite,"1,933.20",-1.47%,"1,965.00","1,17,063","26,367.50",38.45,36.4,"3,169.00","1,782.00",-2.42%,-1.23%,-17.80%,5.76%,301.20%,4.98,0.38%,16.81%,20.97%,59.06,"1,987.30","2,391.98",44.2,,,,,,,,,,,,,,,,,,,,
Delaplex,150,-0.66%,152,"7,800",136.65,11.27,41.34,333,128.5,-11.71%,1.35%,-34.74%,-53.77%,-53.77%,1.86,-,15.59%,18.18%,-,165.12,204.03,37.96,,,,,,,,,,,,,,,,,,,,
Delhivery,358.6,-1.86%,365,"18,45,310","26,736.55",163.15,35.52,447.65,236.53,15.31%,49.24%,-7.73%,-28.62%,-33.14%,2.89,-,-2.72%,-1.54%,-,313.95,339.59,69.56,,,,,,,,,,,,,,,,,,,,
Delphi World Money,134,2.94%,132.5,"4,637",149.11,11.01,32.57,375.89,109.16,0.80%,0.28%,-26.32%,-67.81%,-67.12%,0.64,-,-,-8.84%,-,128.71,196.18,50.01,,,,,,,,,,,,,,,,,,,,
Delta Autocorp,78.25,2.29%,79.5,"19,000",119.64,13.93,22.03,183.75,66.5,11.39%,2.56%,-53.21%,-53.21%,-53.21%,1.6,-,-,44.78%,-,73.17,-,64.66,,,,,,,,,,,,,,,,,,,,
Delta Corp,91.95,-2.73%,94.82,"9,21,735","2,462.16",17.01,32.98,154.9,76.66,2.46%,4.07%,-24.28%,-48.89%,6.12%,0.95,1.32%,9.72%,12.92%,5.9,89.2,107.04,53.34,,,,,,,,,,,,,,,,,,,,
Delta Manufacturing,98.53,-1.85%,101.75,"10,423",106.92,-,67.22,136.04,55.01,65.18%,56.27%,-1.69%,29.64%,320.17%,7.61,-,-,-16.01%,-,70.43,87.57,68.92,,,,,,,,,,,,,,,,,,,,
